issuer,code,market,stage,event_date,first_executable_date,first_known_date,new_economic_facts,status_report_due_date,source_type,source_url,notes
KDDI,9433,Prime,improvement_report_request,2026-04-30,2026-05-01,2026-03-31,partial,,JPX,https://www.jpx.co.jp/news/1023/20260430-15.html,"JPX requested an improvement report and imposed a listing-agreement penalty after large prior-period corrections; backfill publication timestamp and event-window returns."
KDDI,9433,Prime,improvement_report_submission,2026-06-02,2026-06-03,2026-03-31,no,2026-12-02,JPX,https://www.jpx.co.jp/news/1023/20260602-12.html,"Submission stage; candidate uncertainty-relief event."
nms Holdings,2162,Standard,improvement_report_request,2026-05-13,2026-05-14,2026-03-16,partial,,JPX,https://www.jpx.co.jp/news/1023/20260513-13.html,"False disclosure and prior-period correction; 2024 FY net income changed from profit to loss."
nms Holdings,2162,Standard,improvement_report_submission,2026-06-05,2026-06-08,2026-03-16,no,2026-12-05,JPX,https://www.jpx.co.jp/listing/measures/improvement-reports/index.html,"Friday publication; next executable session is Monday. Backfill disclosure timestamp and market data."
eMnet Japan,7036,Growth,improvement_report_request,2026-05-19,2026-05-20,2026-03-30,partial,,JPX,https://www.jpx.co.jp/listing/measures/improvement-reports/index.html,"Request date derived from JPX chronology already documented; verify dedicated notice before production use."
eMnet Japan,7036,Growth,improvement_report_submission,2026-06-16,2026-06-17,2026-03-30,no,2026-12-16,JPX,https://www.jpx.co.jp/listing/measures/improvement-reports/index.html,"Submission date confirmed by JPX list."
Fisco,3807,Growth,improvement_report_submission,2025-10-17,2025-10-20,2025-08-04,no,2026-04-17,JPX,https://www.jpx.co.jp/listing/measures/improvement-reports/index.html,"Friday publication; status report later filed 2026-04-20."
Fisco,3807,Growth,improvement_status_report,2026-04-20,2026-04-21,2025-08-04,unknown,,JPX,https://www.jpx.co.jp/news/1023/20260420-11.html,"Rule-driven roughly six-month follow-up; candidate remediation-credibility event."
Kasai Kogyo,7256,Standard,improvement_report_submission,2025-11-11,2025-11-12,,unknown,2026-05-11,JPX,https://www.jpx.co.jp/listing/measures/improvement-reports/index.html,"Status report later filed 2026-05-15; backfill initial misconduct chronology."
Kasai Kogyo,7256,Standard,improvement_status_report,2026-05-15,2026-05-18,,unknown,,JPX,https://www.jpx.co.jp/news/1023/20260515-17.html,"Friday publication; candidate remediation-credibility event."
Advance Create,8798,Prime,improvement_report_submission,2025-06-20,2025-06-23,,unknown,2025-12-20,JPX,https://www.jpx.co.jp/listing/measures/improvement-reports/index.html,"Friday publication; status report filed 2026-01-07, later than the rough six-month anchor."
Advance Create,8798,Prime,improvement_status_report,2026-01-07,2026-01-08,,unknown,,JPX,https://www.jpx.co.jp/listing/measures/improvement-reports/index.html,"Candidate follow-up event; timing slippage itself may encode remediation or filing complexity."
